score,feature
1.0,proportion_below_threshold_0.3
1.0,mfcc8_kurtosis
1.0,mfcc7_skewness
1.0,mfcc7_kurtosis
1.0,mfcc6_kurtosis
1.0,mfcc5_kurtosis
1.0,mfcc4_kurtosis
1.0,mfcc12_kurtosis
1.0,mfcc10_kurtosis
1.0,keywordIUSubjectWoman
1.0,keywordIUPlaceExterior
1.0,keywordIUObjectWindow
1.0,keywordIUObjectStool
1.0,keywordIUObjectSink
1.0,keywordIUObjectCurtains
1.0,keywordIUObjectCookie
1.0,getSUBTLWordScores
1.0,getImagabilityScore
1.0,getConcretenessScore
1.0,binaryIUSubjectWoman
1.0,binaryIUSubjectGirl
1.0,binaryIUPlaceExterior
1.0,binaryIUObjectWindow
1.0,binaryIUObjectStool
1.0,binaryIUObjectSink
1.0,binaryIUObjectCurtains
1.0,binaryIUObjectCookie
1.0,binaryIUActionWaterOverflowing
1.0,binaryIUActionStoolFalling
1.0,VP_to_VBG
1.0,VP_to_AUX_VP
1.0,VP_to_AUX_ADJP
1.0,VPProportion
1.0,S
1.0,RatioPronoun
1.0,PProportion
1.0,PPTypeRate
1.0,PP
1.0,NumSubordinateConjunctions
1.0,NumNouns
1.0,NumInflectedVerbs
1.0,NumAdverbs
1.0,NP_to_PRP
1.0,NP_to_DT_NN
1.0,MeanWordLength
1.0,MLT
1.0,MLS
1.0,C_T
1.0,C_S
1.0,CT_T
1.0,AvgVPTypeLengthEmbedded
1.0,AvgPPTypeLengthNonEmbedded
1.0,AvgPPTypeLengthEmbedded
1.0,ADVP
0.9,mfcc3_kurtosis
0.9,mfcc13_kurtosis
0.9,DC_T
0.9,AvgVPTypeLengthNonEmbedded
0.8,mfcc11_kurtosis
0.8,avg_cos_dist
0.8,NumDeterminers
0.8,INTJ
0.8,CN_T
0.7,mfcc5_skewness
0.7,T
0.7,INTJ_to_UH
0.6,mfcc9_kurtosis
0.6,mfcc1_skewness
0.6,binaryIUActionBoyTaking
0.5,RatioNoun
0.5,AvgNPTypeLengthEmbedded
0.4,VP_T
0.4,ADJP
0.3,mfcc5_vel_skewness
0.2,mfcc8_skewness
0.2,mfcc10_vel_skewness
0.2,RatioCoordinate
0.2,NumCoordinateConjunctions
0.1,proportion_below_threshold_0.5
0.1,mfcc10_accel_mean
0.1,keywordIUSubjectGirl
0.1,getFamiliarityScore
0.1,binaryIUActionWomanDryingWashing
0.1,DC_C
